Name, Subject, Makrs
Tharindu, Science, 75
Tharindu, Mathematics, 82
Kavindi, English, 91
Suresh, History, 68
Dilani, Science, 88
Mahesh, Geography, 74
Sanduni, English, 80
Kusal, Mathematics, 95
Iresha, History, 67
Ravindu, Science, 79
Nadeesha, English, 84
Dinesh, Mathematics, 89
Bhanuka, Geography, 73
Isuru, Science, 62
Harshani, History, 77
Chamara, Mathematics, 85
Udani, English, 90
Saman, Science, 81
Nisansala, Geography, 76
Dinuka, History, 70
Kasun, Mathematics, 88
Thilini, English, 92
Shanaka, Science, 78
Menaka, History, 64
Ramesh, Mathematics, 91
Chathuri, Science, 87
Rajitha, English, 73
Anushka, Geography, 80
Thisara, Mathematics, 90
Sachini, Science, 83
Lakshan, History, 65
Pavithra, English, 85
Dananjaya, Mathematics, 93
Rashmi, Science, 77
Gayan, Geography, 69
Nilakshi, History, 72
Kalana, Mathematics, 86
Dinithi, English, 88
Amal, Science, 79
Nirosha, History, 66
Pradeep, Mathematics, 84
Dulani, English, 91
Vishwa, Science, 80
Hiruni, Geography, 71
Kavinda, History, 75
Sewwandi, English, 87
Asanka, Mathematics, 90
Hansani, Science, 74
Ruwan, History, 63
Nimasha, English, 86
Tharaka, Science, 89
Chamodi, Geography, 70
Nilan, History, 78
Pubudu, Mathematics, 88
Yasodhara, English, 90
Janith, Science, 76
Hashini, Geography, 75
Buddhika, History, 69
Sithara, English, 82
Dulaj, Mathematics, 92
Rashmika, Science, 84
Sasindu, History, 68
Ruvini, English, 89
Kaveesha, Mathematics, 87
Thilanka, Science, 73
Uditha, Geography, 74
Madushani, History, 67
Shalika, English, 81
Nipun, Mathematics, 85
Chamari, Science, 90
Kaushalya, History, 76
Imesh, English, 88
Rashan, Mathematics, 89
Shehani, Science, 82
Nuwan, Geography, 66
Ravindi, History, 65
Malith, Mathematics, 94
Yamuna, English, 87
Kalum, Science, 83
Tharani, Geography, 68
Sudeera, History, 72
Sharmini, English, 90
Nisala, Mathematics, 91
Chamath, Science, 85
Manushi, History, 77
Akalanka, English, 86
Himasha, Science, 78
Vihanga, Geography, 70
Dinara, History, 73
Sajith, Mathematics, 92
Nadeesha, English, 84
Tharaka, Science, 88
